administrador,usuario,presionó botón correcto,tiempo de interacción,mini juego,número de interacción por lección,color presionado,dificultad,fecha,juego,auto push,tiempo de lección,tiempo de sesión
1,6,1,0.0,5,1,4,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,15.4462,5,2,4,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,7.900033,5,3,4,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,9.168076,5,4,4,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,4.517019,5,5,4,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,4.950146,5,6,4,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,5,0,5,1,1969-12-31 18:00:45.335,2,2,66.31561,9999.0
1,6,2,10.19321,6,1,2,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,5.960228,6,2,2,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,5.343826,6,3,2,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,6.506995,6,4,2,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,6,0,5,1,1969-12-31 18:00:45.335,2,2,54.97932,9999.0
1,6,2,8.527688,7,1,3,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,4.532969,7,2,3,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,2.433409,7,3,3,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,5.066789,7,4,3,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,7,0,5,1,1969-12-31 18:00:45.335,2,2,40.87973,9999.0
1,6,1,8.017762,8,1,4,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,9.401274,8,2,2,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,14.95197,8,3,1,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,0.0498299,8,4,2,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,5.150199,8,5,2,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,11.70072,8,6,1,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,6.883692,8,7,1,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,9.700768,8,8,1,1,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,8,0,5,1,1969-12-31 18:00:45.335,2,2,66.70478,9999.0
1,6,2,4.965643,5,1,1,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,3.316386,5,2,1,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,4.250338,5,3,1,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,3.400026,5,4,1,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,5,0,5,2,1969-12-31 18:00:45.335,2,2,50.60174,9999.0
1,6,1,0.0,6,1,2,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,5.509371,6,2,4,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,5.127581,6,3,4,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,2.945512,6,4,4,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,16.50105,6,5,2,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,10.54263,6,6,4,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,6,0,5,2,1969-12-31 18:00:45.335,2,2,56.11254,9999.0
1,6,2,3.653596,7,1,2,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,3.216813,7,2,2,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,3.267336,7,3,2,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,4.150227,7,4,2,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,3,999.0,7,0,5,2,1969-12-31 18:00:45.335,2,2,37.22212,9999.0
1,6,2,3.42376,8,1,3,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,1,6.467147,8,2,2,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,8.367212,8,3,3,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
1,6,2,1.716951,8,4,3,2,1969-12-31 18:00:45.335,2,1,0.0,0.0
